-54.8865274,-67.6822906
-54.8842691,-67.7050005
-54.8836629,-67.643593
-54.8816685,-67.7116304
-54.8805988,-67.7141933
-54.8799649,-67.7240361
-54.876735,-67.3298562
-54.8692032,-67.5620567
-54.8689177,-67.553644
-54.8687892,-67.552802
-54.8682364,-67.5492542
-54.8681497,-67.5460991
-54.8681424,-67.5451925
-54.8679421,-67.5427319
-54.8678622,-67.5426866
-54.8675532,-67.5391857
-54.8394418,-68.3125402
-54.839415,-68.3119149
-54.8373675,-68.561788
-54.835334,-68.3647207
-54.8334874,-68.3487456
-54.830101,-68.3531777
-54.8291514,-68.3463537
-54.8290826,-68.3458776
-54.8275621,-68.3332854
-54.820617,-68.3462273
-54.8198168,-68.3321051
-54.8193398,-68.3406248
-54.8184056,-68.3366514
-54.8182576,-68.3240122
-54.8181487,-68.3237309
-54.8181228,-68.3365548
-54.8179764,-68.3362783
-54.8173006,-68.3331154
-54.8170926,-68.3346095
-54.8169071,-68.321064
-54.8167453,-68.3288205
-54.8164406,-68.3256261
-54.8161657,-68.3257711
-54.8157755,-68.3409184
-54.8157279,-68.3405141
-54.8155065,-68.3369413
-54.8145601,-68.3221934
-54.814518,-68.326171
-54.8139844,-68.3200457
-54.8135552,-68.3460382
-54.813284,-68.3244707
-54.8131464,-68.3242386
-54.8114431,-68.3227512
-54.8107876,-68.3410255
-54.8099073,-68.3182547
-54.80971,-68.3182389
-54.809687,-68.317323
-54.8096428,-68.3133873
-54.8094485,-68.3138255
-54.8093483,-68.3158745
-54.8092406,-68.3151794
-54.8092074,-68.31403
-54.8091864,-68.3251914
-54.8091741,-68.3233134
-54.8091078,-68.3231655
-54.8091069,-68.3190444
-54.8090614,-68.3186932
-54.8088239,-68.3149019
-54.8087791,-68.3146615
-54.808779,-68.3146607
-54.8087045,-68.3135759
-54.8087044,-68.3065304
-54.8085447,-68.3089045
-54.8085212,-68.3171454
-54.8083947,-68.3161148
-54.8083226,-68.3204813
-54.8083191,-68.3081346
-54.8080732,-68.3111376
-54.8080705,-68.3056253
-54.8080489,-68.3080519
-54.80797,-68.30777
-54.8079573,-68.3112195
-54.8078712,-68.3101315
-54.8078422,-68.3084716
-54.8078034,-68.3084865
-54.8076792,-68.3129545
-54.8076151,-68.3099163
-54.8075415,-68.308808
-54.8075303,-68.309879
-54.8075061,-68.3104097
-54.8074786,-68.3085797
-54.8074276,-68.3084872
-54.8072981,-68.3086774
-54.8072434,-68.306786
-54.8072272,-68.3142235
-54.8072052,-68.3520485
-54.8071875,-68.3063569
-54.8071368,-68.3063148
-54.8071003,-68.3078869
-54.8070392,-68.3069209
-54.8070342,-68.309613
-54.8069977,-68.3069033
-54.8069622,-68.3048713
-54.8068254,-68.3080467
-54.8068177,-68.3059471
-54.8067874,-68.3031826
-54.8067375,-68.3057412
